year,day_of_year,station_number,air_temp_max,air_temp_min,air_temp_mean,rh_max,rh_min,rh_mean,vpd_mean,solar_rad_total,precip_total,four_inch_soil_temp_max,four_inch_soil_temp_min,four_inch_soil_temp_mean,twenty_inch_soil_temp_max,twenty_inch_soil_temp_mine,twenty_inch_soil_temp_mean,wind_speed_mean,wind_vector_mag,wind_vector_direction,wind_direction_std,wind_speed_max,heat_units,eto_original,eto_p_m,actual_vapor_pressure_mean,dewpoint_mean,,date,gdd,cum_precip
2018,115,6,36.6,17.1,27.2,31,6.5,16.8,3.26,27.22,0,31.8,22.1,26.7,23.1,22.3,22.7,1.6,0.8,185,57,5.6,12.4,7.7,6.7,0.56,-1.4,,2018-04-25,17,0
2018,116,6,34.5,18.2,26.8,33.3,9.9,18.7,3.04,18.37,0,28.7,22.7,25.9,23.4,23.1,23.3,2.4,1.3,208,53,5.9,12.6,6.1,6.7,0.63,0.3,,2018-04-26,33,0
2018,117,6,36.4,17.6,28.6,48.7,9.6,20.5,3.35,26.85,0,32.1,22.8,26.6,28.5,23.4,24.9,2,0.9,215,59,7.2,12.6,7.9,7.1,0.74,2.5,,2018-04-27,50,0
2018,118,6,35.9,19.1,28.1,41,8.3,17.8,3.32,27.08,0,26.7,20.4,23.5,25.1,24,24.4,2.6,1.7,234,48,8.1,13.2,8.6,8.1,0.63,0,,2018-04-28,68,0
2018,119,6,33.8,15.6,24.8,44.3,7.3,18.9,2.75,26.87,0,28.7,18.5,23.4,24,23.2,23.5,3.1,2.2,201,44,11.1,11.1,8.6,8.3,0.55,-1.7,,2018-04-29,82,0
2018,120,6,30,13.1,22.8,37.3,11.5,20.2,2.33,25.32,0,28.8,20.1,24.4,23.6,23.2,23.4,3,2.1,225,44,8.6,8.7,7.7,7.2,0.54,-1.8,,2018-04-30,94,0
2018,121,6,24.2,13.9,19.6,46.4,17.9,33.6,1.54,16.36,0,25.6,20.6,23.2,23.6,23.2,23.4,3,2.1,216,43,10,6.2,4.6,5.2,0.76,2.9,,2018-05-01,103,0
2018,122,6,23,12.4,17.6,64.9,22.3,40.2,1.26,20.99,0,25.4,19.5,22.1,23.3,22.7,23,2.5,2,210,38,8.3,4.9,5.1,5,0.79,3.3,,2018-05-02,111,0
2018,123,6,27.8,9.1,19.5,64.9,14.6,31.4,1.74,27.99,0,31,18.2,24,28.1,22.6,24.2,1.3,0.1,290,79,6.2,6.4,6.5,5.3,0.66,1,,2018-05-03,119,0
2018,124,6,33.7,11.1,23.5,66.3,7.1,25.3,2.55,28.72,0,25.5,19,22.4,24.4,23.3,23.7,1.2,0.4,31,68,6.5,9.3,7.4,5.9,0.61,-0.3,,2018-05-04,132,0
2018,125,6,38.3,12.3,26.8,56.3,4.9,20.7,3.37,28.9,0,28.8,18,23.1,23.3,22.7,23,1.6,0.4,50,71,7.3,10.4,8.3,7.1,0.56,-1.4,,2018-05-05,147,0
2018,126,6,40.2,16.4,29.2,51.8,6.4,18.9,3.8,25.68,0,31.1,20.7,25.9,23.7,23,23.3,1.6,0.7,258,60,8.3,12.5,7.8,7,0.64,0.5,,2018-05-06,165,0
2018,127,6,39.5,21.8,30.1,28.8,6.3,14.6,3.9,26.27,0,32.7,23.2,27.6,24.5,23.7,24,2,0.9,141,59,5.8,14.7,8.1,7.7,0.58,-0.8,,2018-05-07,186,0
2018,128,6,39.8,17.7,29.6,39.5,4.2,13.1,3.96,29.17,0,33.3,23.6,28.3,25.1,24.4,24.7,2.1,1.4,195,47,7.6,13.1,9,8.2,0.48,-3.7,,2018-05-08,205,0
2018,129,6,40.2,19.7,30.2,24.7,5.7,11.7,4.1,29.03,0,34.2,24.2,29.1,25.6,25.1,25.3,2.2,1.3,194,51,7.2,13.9,8.9,8.3,0.47,-3.5,,2018-05-09,225,0
2018,130,6,40.8,18.9,30.9,27.9,5.7,13.4,4.22,29.24,0,34.3,25.1,29.6,26.1,25.6,25.9,2.9,1.8,206,51,9.2,13.7,10,9.7,0.55,-1.5,,2018-05-10,244,0
2018,131,6,37.7,21.6,29.7,25.9,8.7,16.7,3.65,28.49,0,32.9,25.7,29.4,26.4,26.1,26.3,4.3,3.6,206,33,11.9,14.4,10.9,10.9,0.68,1.3,,2018-05-11,264,0
2018,132,6,32.5,19.6,25.9,43.3,10.9,20.4,2.78,28.95,0,31.9,25.1,28.3,26.6,26.2,26.4,4.5,4,200,28,11.3,12.8,10.1,9.9,0.64,0.5,,2018-05-12,280,0
2018,133,6,32.1,15,23.7,50.8,12.2,25.9,2.35,29.37,0,32.1,23.6,27.7,26.5,25.9,26.2,2.4,1.6,185,45,6.9,10.5,8,7.4,0.71,1.9,,2018-05-13,294,0
2018,134,6,34.5,13.7,25.2,33,8.3,16.8,2.89,29.37,0,32.7,23.6,28.1,26.3,25.9,26.1,2.2,1,204,60,7.2,10.4,8.4,7.6,0.52,-2.5,,2018-05-14,308,0
