*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.0.027 -develop  JUN 30, 2022 07:20:22
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
 118 TERRAR01.SGX       118 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 119 TERRAR01.SGX       119 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 120 TERRAR01.SGX       120 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 121 TERRAR01.SGX       121 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 122 TERRAR01.SGX       122 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 123 TERRAR01.SGX       123 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 124 TERRAR01.SGX       124 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 125 TERRAR01.SGX       125 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 126 TERRAR01.SGX       126 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 127 TERRAR01.SGX       127 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 128 TERRAR01.SGX       128 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 129 TERRAR01.SGX       129 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 130 TERRAR01.SGX       130 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 131 TERRAR01.SGX       131 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 132 TERRAR01.SGX       132 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 133 TERRAR01.SGX       133 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 134 TERRAR01.SGX       134 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 135 TERRAR01.SGX       135 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 136 TERRAR01.SGX       136 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 137 TERRAR01.SGX       137 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 138 TERRAR01.SGX       138 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 139 TERRAR01.SGX       139 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 140 TERRAR01.SGX       140 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 141 TERRAR01.SGX       141 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 142 TERRAR01.SGX       142 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 143 TERRAR01.SGX       143 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 144 TERRAR01.SGX       144 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 145 TERRAR01.SGX       145 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 146 TERRAR01.SGX       146 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 147 TERRAR01.SGX       147 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 148 TERRAR01.SGX       148 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 149 TERRAR01.SGX       149 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 150 TERRAR01.SGX       150 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 151 TERRAR01.SGX       151 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 152 TERRAR01.SGX       152 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 153 TERRAR01.SGX       153 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 154 TERRAR01.SGX       154 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 155 TERRAR01.SGX       155 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 156 TERRAR01.SGX       156 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 157 TERRAR01.SGX       157 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 158 TERRAR01.SGX       158 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 159 TERRAR01.SGX       159 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 160 TERRAR01.SGX       160 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 161 TERRAR01.SGX       161 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 162 TERRAR01.SGX       162 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 163 TERRAR01.SGX       163 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 164 TERRAR01.SGX       164 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 165 TERRAR01.SGX       165 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 166 TERRAR01.SGX       166 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 167 TERRAR01.SGX       167 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 168 TERRAR01.SGX       168 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 169 TERRAR01.SGX       169 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 170 TERRAR01.SGX       170 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 171 TERRAR01.SGX       171 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 172 TERRAR01.SGX       172 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 173 TERRAR01.SGX       173 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 174 TERRAR01.SGX       174 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 175 TERRAR01.SGX       175 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 176 TERRAR01.SGX       176 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 177 TERRAR01.SGX       177 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 178 TERRAR01.SGX       178 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 179 TERRAR01.SGX       179 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 180 TERRAR01.SGX       180 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 181 TERRAR01.SGX       181 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 182 TERRAR01.SGX       182 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 183 TERRAR01.SGX       183 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 184 TERRAR01.SGX       184 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 185 TERRAR01.SGX       185 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 186 TERRAR01.SGX       186 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 187 TERRAR01.SGX       187 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 188 TERRAR01.SGX       188 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 189 TERRAR01.SGX       189 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 190 TERRAR01.SGX       190 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 191 TERRAR01.SGX       191 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 192 TERRAR01.SGX       192 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 193 TERRAR01.SGX       193 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 194 TERRAR01.SGX       194 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 195 TERRAR01.SGX       195 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 196 TERRAR01.SGX       196 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 197 TERRAR01.SGX       197 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 198 TERRAR01.SGX       198 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 199 TERRAR01.SGX       199 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 200 TERRAR01.SGX       200 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 201 TERRAR01.SGX       201 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 202 TERRAR01.SGX       202 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 203 TERRAR01.SGX       203 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 204 TERRAR01.SGX       204 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 205 TERRAR01.SGX       205 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 206 TERRAR01.SGX       206 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 207 TERRAR01.SGX       207 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 208 TERRAR01.SGX       208 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 209 TERRAR01.SGX       209 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 210 TERRAR01.SGX       210 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 211 TERRAR01.SGX       211 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 212 TERRAR01.SGX       212 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 213 TERRAR01.SGX       213 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 214 TERRAR01.SGX       214 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 215 TERRAR01.SGX       215 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 216 TERRAR01.SGX       216 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 217 TERRAR01.SGX       217 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 218 TERRAR01.SGX       218 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 219 TERRAR01.SGX       219 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 220 TERRAR01.SGX       220 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 221 TERRAR01.SGX       221 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 222 TERRAR01.SGX       222 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 223 TERRAR01.SGX       223 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 224 TERRAR01.SGX       224 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 225 TERRAR01.SGX       225 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 226 TERRAR01.SGX       226 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 227 TERRAR01.SGX       227 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 228 TERRAR01.SGX       228 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 229 TERRAR01.SGX       229 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 230 TERRAR01.SGX       230 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 231 TERRAR01.SGX       231 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 232 TERRAR01.SGX       232 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 233 TERRAR01.SGX       233 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 234 TERRAR01.SGX       234 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 235 TERRAR01.SGX       235 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 236 TERRAR01.SGX       236 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 237 TERRAR01.SGX       237 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 238 TERRAR01.SGX       238 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 239 TERRAR01.SGX       239 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 240 TERRAR01.SGX       240 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 241 TERRAR01.SGX       241 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 242 TERRAR01.SGX       242 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 243 TERRAR01.SGX       243 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 244 TERRAR01.SGX       244 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 245 TERRAR01.SGX       245 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 246 TERRAR01.SGX       246 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 247 TERRAR01.SGX       247 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 248 TERRAR01.SGX       248 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 249 TERRAR01.SGX       249 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 250 TERRAR01.SGX       250 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 251 TERRAR01.SGX       251 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 252 TERRAR01.SGX       252 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 253 TERRAR01.SGX       253 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 254 TERRAR01.SGX       254 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 255 TERRAR01.SGX       255 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 256 TERRAR01.SGX       256 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 257 TERRAR01.SGX       257 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 258 TERRAR01.SGX       258 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 259 TERRAR01.SGX       259 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
 260 TERRAR01.SGX       260 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
