*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.0.027 -develop  JUN 30, 2022 07:20:22
!                             <----------------- Initial State Variables ----------------><------------------ Final State Variables -----------------><----------- Added ----------><---------------- Lost ---------------->
!                             <-------- SOM-C -------><-------- FOM-C -------><-----CH4--><-------- SOM-C -------><-------- FOM-C -------><-----CH4--><---OM---><Senesced><-HarvRes><----------------- GHG ----------------><--Balance->
!                                     Surf        Soil        Surf        Soil     Storage        Surf        Soil        Surf        Soil     Storage 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi     CH4STDi        SC0D       SOMCT        LC0D        LCTD      CH4STD      OMAC     SENCC      HRCH     CO2EC     CH4EC    CH4LCC    CH4COC      CUMBAL
  30 TERRAR01.SGX        30 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  31 TERRAR01.SGX        31 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  32 TERRAR01.SGX        32 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  33 TERRAR01.SGX        33 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  34 TERRAR01.SGX        34 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  35 TERRAR01.SGX        35 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  36 TERRAR01.SGX        36 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  37 TERRAR01.SGX        37 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  38 TERRAR01.SGX        38 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  39 TERRAR01.SGX        39 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  40 TERRAR01.SGX        40 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  41 TERRAR01.SGX        41 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  42 TERRAR01.SGX        42 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  43 TERRAR01.SGX        43 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  44 TERRAR01.SGX        44 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  45 TERRAR01.SGX        45 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  46 TERRAR01.SGX        46 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  47 TERRAR01.SGX        47 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  48 TERRAR01.SGX        48 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  49 TERRAR01.SGX        49 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  50 TERRAR01.SGX        50 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  51 TERRAR01.SGX        51 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  52 TERRAR01.SGX        52 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  53 TERRAR01.SGX        53 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  54 TERRAR01.SGX        54 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  55 TERRAR01.SGX        55 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  56 TERRAR01.SGX        56 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
  57 TERRAR01.SGX        57 SG        0.00   118234.42        0.00        0.00        0.00        0.00   117664.47        0.00       22.32        0.00      0.00     34.67      0.00    582.22      0.00      0.00      0.00     -0.0787
