"germplasmDbId","germplasmName","commonCropName"
"6000000718","PI156890","sorghum"
"6000000221","PI562730","sorghum"
"6000000705","PI155516","sorghum"
"6000000942","PI570031","sorghum"
"6000001059","PI329605","sorghum"
"6000000941","PI569886","sorghum"
"6000000222","PI297171","sorghum"
"6000000899","PI563295","sorghum"
"6000000911","PI569090","sorghum"
"6000000943","PI570038","sorghum"
"6000000815","PI329865","sorghum"
"6000001012","PI646251","sorghum"
"6000001000","PI641830","sorghum"
"6000001003","PI641850","sorghum"
"6000000701","PI154944","sorghum"
"6000000726","PI176766","sorghum"
"6000000935","PI569457","sorghum"
"6000000853","PI514456","sorghum"
"6000000897","PI563196","sorghum"
"6000000802","PI329632","sorghum"
"6000000470","PI152727","sorghum"
"6000000215","PI641824","sorghum"
"6000000577","PI329510","sorghum"
"6000001057","PI534165","sorghum"
"6000000940","PI569465","sorghum"
"6000000795","PI329570","sorghum"
"6000000713","PI156330","sorghum"
"6000000959","PI570110","sorghum"
"6000000880","PI562970","sorghum"
"6000000575","PI329501","sorghum"
"6000001022","PI655978","sorghum"
"6000000756","PI276837","sorghum"
"6000000219","PI505722","sorghum"
"6000000989","PI619838","sorghum"
"6000000858","PI524475","sorghum"
"6000000949","PI570074","sorghum"
"6000000961","PI570145","sorghum"
"6000000952","PI570085","sorghum"
"6000000879","PI562897","sorghum"
"6000000886","PI562991","sorghum"
"6000000889","PI562998","sorghum"
"6000000915","PI569264","sorghum"
"6000000745","PI229841","sorghum"
"6000000712","PI156326","sorghum"
"6000000693","PI152965","sorghum"
"6000000901","PI563330","sorghum"
"6000000736","PI197542","sorghum"
"6000000835","PI452692","sorghum"
"6000000559","PI329310","sorghum"
"6000000957","PI570106","sorghum"
"6000000570","PI329466","sorghum"
"6000000921","PI569422","sorghum"
"6000001060","PI513898","sorghum"
"6000000791","PI329545","sorghum"
"6000000216","PI641825","sorghum"
"6000000574","PI329480","sorghum"
"6000001026","PI656026","sorghum"
"6000000735","PI196598","sorghum"
"6000000694","PI152966","sorghum"
"6000000558","PI329301","sorghum"
"6000000900","PI563329","sorghum"
"6000000806","PI329665","sorghum"
"6000000906","PI563350","sorghum"
"6000000982","PI585961","sorghum"
"6000000728","PI180348","sorghum"
"6000000706","PI155760","sorghum"
"6000000841","PI455307","sorghum"
"6000000980","PI585608","sorghum"
"6000000955","PI570091","sorghum"
"6000000755","PI273969","sorghum"
"6000000733","PI196583","sorghum"
"6000000953","PI570087","sorghum"
"6000000833","PI452542","sorghum"
